"","id","speaker_id","transcript_id","gloss","part_of_speech","target_child_id"
"1",3772732,5482,9573,"and she asked um where do you wanna go","coord pro:sub v adv:int mod pro:per v v",5482
"2",3772777,5482,9573,"and the kids I guess answered Mcdonalds","coord det:art n v n:prop",5482
"3",3772812,5482,9573,"and so they went to Mcdonalds","coord co pro:sub v prep n:prop",5482
"4",3772852,5482,9573,"and Lisa couldn't make up her mind","coord n:prop mod v prep det:poss n",5482
"5",3772884,5482,9573,"and um she was deciding between a Big_Mac or a happymeal","coord pro:sub aux part prep det:art n:prop coord det:art",5482
"6",3772934,5482,9573,"and Raymond ordered cheeseburger a large vanilla vanilla shake and french fries","coord n:prop v det:art adj n n coord adj n",5482
"7",3772996,5482,9573,"and the mother ordered a salad","coord det:art n v det:art n",5482
"8",3773020,5482,9573,"and the mother reached down to get the purse","coord det:art n v adv inf v det:art n",5482
"9",3773061,5482,9573,"and um sh it wasn't there","coord pro:per cop adv",5482
"10",3773088,5482,9573,"and so that's it","coord co pro:dem pro:per",5482
"11",3773104,5482,9573,"um Joe wo woke up one morning","n:prop v adv det:num n",5482
"12",3773149,5482,9573,"and he w he looked at the clock","coord pro:sub cop prep det:art n",5482
"13",3773185,5482,9574,"um they were hungry","pro:sub cop adj",5482
"14",3773195,5482,9573,"and it was past nine half past nine","coord pro:per cop n adj det:num",5482
"15",3773230,5482,9573,"and um so he um he poured cereal and poured a_lot_of milk","coord pro:sub v n coord part qn n",5482
"16",3773260,5482,9574,"um mom says where do you want to eat","n v adv:int mod pro:per v inf v",5482
"17",3773292,5482,9573,"and I he spilled it","coord pro:sub v pro:per",5482
"18",3773300,5482,9574,"and they yell Mcdonalds","coord pro:sub v n:prop",5482
"19",3773318,5482,9573,"and he was still looking at the time","coord pro:sub cop adv part prep det:art n",5482
"20",3773322,5482,9574,"so that the kids hopped in the car","adv pro:rel det:art n v prep det:art n",5482
"21",3773354,5482,9573,"","",5482
"22",3773356,5482,9574,"and the mom um drove the nearest Mcdonalds","coord det:art n n det:art prep n:prop",5482
"23",3773392,5482,9574,"so they went in there","co pro:sub v prep adv",5482
"24",3773394,5482,9573,"and um he got his clo his clothes on","coord pro:sub v det:poss n:pt adv",5482
"25",3773412,5482,9575,"Lisa and Raymond and their mother were supposed to go out to dinner","n:prop coord n:prop coord det:poss n aux part inf v adv prep n",5482
"26",3773416,5482,9574,"but the girl didn't know what she want a Big_Mac or a happymeal","conj det:art n mod v pro:int pro:sub v det:art n:prop coord det:art",5482
"27",3773432,5482,9573,"and then all of a sudden his shoelace broke","coord adv:tem pro:indef prep det:art n det:poss adj",5482
"28",3773470,5482,9574,"but h her brother um her mom know what they wanted","conj det:poss n det:poss n v pro:int pro:sub v",5482
"29",3773474,5482,9573,"and then he got his backpack","coord adv:tem pro:sub v det:poss",5482
"30",3773482,5482,9575,"and the mother asked where they wanted to go","coord det:art n v pro:rel pro:sub v inf v",5482
"31",3773501,5482,9573,"and then he was tried to catch up with the bus because it already left","coord adv:tem pro:sub v inf v adv prep det:art n conj pro:per adv adj",5482
"32",3773512,5482,9574,"and she decided that she wanted a happymeal with a chocolate shake","coord pro:sub v pro:rel pro:sub v det:art prep det:art n n",5482
"33",3773518,5482,9575,"and they said both shouted out loud they wanted to go to Mcdonalds","coord pro:sub post v prep adj pro:sub v inf v prep n:prop",5482
"34",3773556,5482,9573,"and he c he was late","coord pro:sub cop adj",5482
"35",3773560,5482,9574,"and that's all I remember","coord pro:dem pro:indef pro:sub v",5482
"36",3773567,5482,9575,"and when they went to Mcdonalds lis um Lisa couldn't re decide what she wanted","coord conj pro:sub v prep n:prop n:prop mod v pro:int pro:sub v",5482
"37",3773582,5482,9573,"and the principal was waiting for him","coord det:art n aux part prep pro:obj",5482
"38",3773613,5482,9573,"and she s she was pointing to her watch and saying you're late","coord pro:sub aux part prep det:poss n coord part pro:per adj",5482
"39",3773620,5482,9574,"um um the girl got her um no um the mom forgot her um pocket xxx money money money","det:art n v det:poss n",5482
"40",3773640,5482,9575,"if she wanted a kid's meal or a Bigger_Mac","conj pro:sub v det:art n n coord det:art n:prop",5482
"41",3773673,5482,9573,"and he walked to the classroom with a tardy slip","coord pro:sub v prep det:art prep det:art adj n",5482
"42",3773682,5482,9575,"and Raymond and his mother de knew what they wanted","coord n:prop coord det:poss n v pro:int pro:sub v",5482
"43",3773697,5482,9574,"um it was um Billy had to go to school","n:prop v inf v prep n",5482
"44",3773713,5482,9573,"um one day Mary_jane and Raymond went over to have a picnic with their family","det:num n n:prop coord n:prop v adv inf v det:art n prep det:poss n",5482
"45",3773730,5482,9575,"and Lisa went first","coord n:prop v adv",5482
"46",3773740,5482,9574,"and it was seven I mean it was eight thirty","coord pro:per cop det:num det:num",5482
"47",3773746,5482,9575,"she said she wanted a kid's meal with a chocolate cone","pro:sub v pro:sub v det:art n n prep det:art n n",5482
"48",3773779,5482,9573,"and they went through the woods","coord pro:sub v prep det:art n",5482
"49",3773784,5482,9574,"so he got some breakfast","co pro:sub v qn n",5482
"50",3773788,5482,9575,"and Raymond said he wanted a cheeseburger with french fries and a large vanilla shake shake","coord n:prop v pro:sub v det:art prep adj n coord det:art adj n n",5482
"51",3773801,5482,9573,"and then they saw th this spaceship that had some weird writing on it","coord adv:tem pro:sub v pro:dem pro:rel v qn adj n:gerund prep pro:per",5482
"52",3773811,5482,9574,"he ate it all","pro:sub v pro:per adv",5482
"53",3773830,5482,9574,"but he made a mess","conj pro:sub v det:art n",5482
"54",3773847,5482,9575,"and the mother wanted a salad","coord det:art n v det:art n",5482
"55",3773849,5482,9574,"his mom said clean it up","det:poss n v v pro:per adv",5482
"56",3773858,5482,9573,"they couldn't understand it","pro:sub mod v pro:per",5482
"57",3773875,5482,9575,"and the clerk said that it costed twelve ninety five","coord det:art n v pro:rel pro:per part det:num det:num det:num",5482
"58",3773876,5482,9574,"so he did","co pro:sub v",5482
"59",3773878,5482,9573,"and um then they saw aliens come out","coord adv:tem pro:sub v n v adv",5482
"60",3773894,5482,9574,"and he ran to his room","coord pro:sub v prep det:poss n",5482
"61",3773914,5482,9573,"they had like a_lot_of legs","pro:sub v qn n",5482
"62",3773925,5482,9574,"he was tying his shoelace","pro:sub aux part det:poss",5482
"63",3773926,5482,9575,"and when she reached in when the mother reached inside her purse her purse was lost","coord conj det:art n v adj det:poss n det:poss n aux part",5482
"64",3773947,5482,9573,"and they and they had a pet dog or whatever it is","coord pro:sub v det:art n n",5482
"65",3773950,5482,9574,"but it broke","conj pro:per adj",5482
"66",3773970,5482,9574,"then he got his bookbag and went out the door","adv:tem pro:sub v det:poss coord v prep det:art n",5482
"67",3773991,5482,9575,"and she forgot that it was on the kitchen table","coord pro:sub v pro:rel pro:per cop prep det:art n n",5482
"68",3774000,5482,9573,"and Raymond said let's go let's go","coord n:prop v v v v v",5482
"69",3774015,5482,9574,"and he was he wa he missed the bus","coord pro:sub v det:art n",5482
"70",3774038,5482,9575,"um Billy one day woke up from school","n:prop det:num n v adv prep n",5482
"71",3774039,5482,9573,"and Mary_jane said no let's go","coord n:prop v co v v",5482
"72",3774057,5482,9574,"so he went after it","co pro:sub v prep pro:per",5482
"73",3774060,5482,9573,"and then they um Mary_jane went over to the aliens and said hi","coord adv:tem n:prop v adv prep det:art n coord v co",5482
"74",3774071,5482,9575,"and he looked at the clock","coord pro:sub cop prep det:art n",5482
"75",3774075,5482,9574,"so he walked to to the school","co pro:sub v prep det:art n",5482
"76",3774103,5482,9575,"and he was running late","coord pro:sub aux part adj",5482
"77",3774107,5482,9573,"and then the aliens started attacking them","coord adv:tem det:art n v n:gerund pro:obj",5482
"78",3774113,5482,9574,"so when he got there his teacher was standing at at the door","co conj pro:sub v adv det:poss n aux part prep det:art n",5482
"79",3774132,5482,9575,"he was rushing to school","pro:sub aux part prep n",5482
"80",3774139,5482,9573,"and then she ran off","coord adv:tem pro:sub v adv",5482
"81",3774162,5482,9575,"and he was looking at the clock at the same time","coord pro:sub aux part prep det:art n prep det:art adj n",5482
"82",3774171,5482,9573,"and she screamed","coord pro:sub v",5482
"83",3774180,5482,9574,"and she said look whats time it is","coord pro:sub v co n:pt v pro:per cop",5482
"84",3774186,5482,9573,"and then um she went they went to tell their parents","coord adv:tem pro:sub v inf v det:poss n",5482
"85",3774211,5482,9575,"and he spilled the milk","coord pro:sub v det:art n",5482
"86",3774213,5482,9574,"it's ten o'clock","pro:per det:num n",5482
"87",3774234,5482,9574,"you're late","pro:per adj",5482
"88",3774241,5482,9575,"meanwhile as he was getting dressed he snapped his two la um shoelace in two","adv prep pro:sub aux part part pro:sub v det:poss prep det:num",5482
"89",3774247,5482,9573,"but they said they had proof","conj pro:sub v pro:sub v n",5482
"90",3774253,5482,9574,"you got detention after school","pro:per v n prep n",5482
"91",3774272,5482,9574,"so he went in there looking sad","co pro:sub v prep adv part adj",5482
"92",3774273,5482,9573,"and then they they brought their parents back","coord adv:tem pro:sub v det:poss n adv",5482
"93",3774287,5482,9576,"their mom said we'll go to Mcdonalds","det:poss n v pro:sub v prep n:prop",5482
"94",3774304,5482,9574,"um James and Molly went to the park","n:prop coord n:prop v prep det:art n",5482
"95",3774305,5482,9575,"and then he wen as when he walked outside he was late for the school bus","coord adv:tem conj pro:sub v adv pro:sub cop adj prep det:art n n",5482
"96",3774312,5482,9573,"and the spaceship was gone and same with the aliens","coord det:art aux part coord pro:indef prep det:art n",5482
"97",3774320,5482,9576,"and they all did stuff","coord pro:sub post v n",5482
"98",3774341,5482,9574,"and when they got there they see something in the sky","coord conj pro:sub v adv pro:sub v pro:indef prep det:art n",5482
"99",3774357,5482,9573,"and they don't remember and after they saw that spacesh after they told their parents they forgot everything what they saw","coord conj pro:sub v det:poss n pro:sub v pro:indef pro:int pro:sub v",5482
"100",3774362,5482,9576,"and then they didn't bring the purse","coord adv:tem pro:sub mod v det:art n",5482
"101",3774368,5482,9575,"when he reached the school the teacher was waiting outside and said he was very late","conj pro:sub v det:art n det:art n aux part adv coord v pro:sub cop adv adj",5482
"102",3774385,5482,9574,"Amy yelled a u_f_o","n:prop v det:art n",5482
"103",3774403,5482,9574,"so they hide behind the bush and start looking","conj pro:sub v adv det:art n coord v part",5482
"104",3774423,5482,9576,"yes","co",5482
"105",3774440,5482,9576,"um the boy xxx was late for school","det:art n cop adj prep n",5482
"106",3774443,5482,9575,"one day Brian and Raquel went to the park to have a picnic","det:num n n:prop coord n:prop v prep det:art n inf v det:art n",5482
"107",3774456,5482,9574,"and there was the aliens coming out a boy a girl and a father and a dad and a dog","coord adv cop det:art n part prep det:art n det:art n coord det:art n coord det:art n coord det:art n",5482
"108",3774476,5482,9576,"he was getting dressed","pro:sub aux part part",5482
"109",3774494,5482,9576,"he was getting late for school","pro:sub aux part adj prep n",5482
"110",3774495,5482,9575,"and they saw this um u_f_o","coord pro:sub v pro:dem n",5482
"111",3774520,5482,9575,"and Brian said there is no such thing as a u_f_o","coord n:prop v adv cop qn qn n prep det:art n",5482
"112",3774525,5482,9576,"and he was walking down the sidewalk","coord pro:sub aux part prep det:art n",5482
"113",3774534,5482,9574,"and Molly ran home and saw her brother","coord n:prop v n coord v det:poss n",5482
"114",3774561,5482,9576,"he he tried looking for the bus","pro:sub v part prep det:art n",5482
"115",3774563,5482,9575,"and then she said yes it is","coord adv:tem pro:sub v co pro:per cop",5482
"116",3774574,5482,9574,"they tell their mom","pro:sub v det:poss n",5482
"117",3774594,5482,9575,"because it's landing","conj pro:per part",5482
"118",3774596,5482,9576,"and he got in late","coord pro:sub v prep adj",5482
"119",3774598,5482,9574,"but their mom didn't believe it","conj det:poss n mod v pro:per",5482
"120",3774618,5482,9575,"and they saw aliens with a family coming out to have a picnic also","coord pro:sub v n prep det:art n part adv inf v det:art n adv",5482
"121",3774626,5482,9576,"um um they are the family is getting out","det:art n aux n:gerund adv",5482
"122",3774628,5482,9574,"so she said you are lying","conj pro:sub v pro:per aux part",5482
"123",3774649,5482,9574,"so go to your room and stay in there the rest of the day","adv v prep det:poss n coord n prep adv det:art n prep det:art n",5482
"124",3774667,5482,9576,"then um they were getting ready","adv:tem pro:sub aux part adj",5482
"125",3774673,5482,9575,"and then Brian tried to take Raquelle back home um back home to go tell everybody what they saw","coord adv:tem n:prop v inf v n:prop adv n inf v v pro:indef pro:int pro:sub v",5482
"126",3774695,5482,9576,"and they were going to work in school","coord pro:sub aux part prep n prep n",5482
"127",3774735,5482,9575,"but she wanted to she took his hand and took him to say hi to the aliens","pro:sub v det:poss n coord v pro:obj inf v co prep det:art n",5482
"128",3775100,5482,9577,"um the boy and the girl ordered um","det:art n coord det:art n v",5482
"129",3775130,5482,9577,"they went to Mcdonalds","pro:sub v prep n:prop",5482
"130",3775149,5482,9577,"and they ordered like the boy or ordered a hamburger and fries a milkshake","coord det:art n part det:art n coord v det:art",5482
"131",3775197,5482,9577,"and the girl order ordered um a happymeal with um a small coke and um ic a vanilla ice+cream cone","coord det:art n v det:art prep det:art adj n coord det:art n n",5482
"132",3775209,5482,9578,"Molly s couldn't make up her mind w with what she wanted a Big_Mac or a kidsmeal","n:prop mod v prep det:poss n prep pro:int pro:sub v det:art n:prop coord det:art",5482
"133",3775222,5482,9579,"when when they both got back from home their mother asked what do you want to go out","conj pro:sub post v adv prep n det:poss n v pro:int mod pro:per v inf v adv",5482
"134",3775283,5482,9578,"and the boy couldn't decide where he wanted to go","coord det:art n mod v adv:int pro:sub v inf v",5482
"135",3775286,5482,9577,"and her mom ordered salad","coord det:poss n v n",5482
"136",3775298,5482,9579,"and they said Mcdonalds","coord pro:sub v n:prop",5482
"137",3775309,5482,9577,"but when they got to the register they s um the guy said you need to pay me twelve dollars and eighty seven cents","conj conj pro:sub v prep det:art n det:art n v pro:per v inf v pro:obj det:num n coord det:num det:num n",5482
"138",3775313,5482,9579,"so they got in the car","co pro:sub v prep det:art n",5482
"139",3775321,5482,9578,"and that the mom left her purse at the home at home","coord pro:rel det:art n adj det:poss n prep n",5482
"140",3775336,5482,9579,"and they drove to the nearest Mcdonalds that they could find","coord pro:sub v prep det:art prep n:prop pro:rel pro:sub mod v",5482
"141",3775358,5482,9578,"and when they were getting ready to go out they decided what they wanted","coord conj pro:sub aux part adj inf v adv pro:sub v pro:int pro:sub v",5482
"142",3775373,5482,9580,"the girl wa Lisa wanted a happymeal a ice+cream cone","n:prop v det:art det:art n",5482
"143",3775382,5482,9579,"then they told their meals what they wanted","adv:tem pro:sub v pro:int pro:sub v",5482
"144",3775398,5482,9577,"and she said oops I forgot my money at home","coord pro:sub v co pro:sub v det:poss n prep n",5482
"145",3775405,5482,9578,"and they said Mcdonalds","coord pro:sub v n:prop",5482
"146",3775415,5482,9579,"but the problem was that the mother can't find her wallet","conj det:art n cop pro:rel det:art n mod v det:poss n",5482
"147",3775418,5482,9581,"alright xxx have to alright when the kids got home the mother said hey kids","conj det:art n v adv det:art n v co v",5482
"148",3775424,5482,9580,"and and a boy wanted a cheeseburger","coord det:art n part det:art",5482
"149",3775426,5482,9578,"and Lisa got a Lisa got a kidsmeal with a coke and fries but not not a coke a ice+cream cone or so chocolate with a ha chocolate","coord n:prop v det:art prep det:art n coord n conj neg det:art n det:art n",5482
"150",3775443,5482,9577,"um when the boy got up he he knew that he was late for school","conj det:art n v adv pro:sub v pro:rel pro:sub cop adj prep n",5482
"151",3775450,5482,9579,"once there was a boy","adv adv cop det:art n",5482
"152",3775452,5482,9580,"and so they didn't have any money","co pro:sub mod v qn n",5482
"153",3775471,5482,9581,"we're gonna go w to eat tonight","pro:sub part v inf v adv:tem",5482
"154",3775475,5482,9579,"and he wanted and he went but he he went to school","pro:sub v prep n",5482
"155",3775494,5482,9580,"so they s the m ordering man said its fifty cents and","co pro:sub part n v det:poss det:num n",5482
"156",3775512,5482,9581,"where do you wanna go","adv:int mod pro:per v v",5482
"157",3775517,5482,9578,"and the boy ordered a Big_Mac with fries and a milkshake","coord det:art n part det:art n:prop prep n coord det:art",5482
